true,pred,count,config,feature_set,test_player
8,4,0,A_expressive,S2_tier1_2,p01
8,5,25,A_expressive,S2_tier1_2,p01
8,6,0,A_expressive,S2_tier1_2,p01
8,7,0,A_expressive,S2_tier1_2,p01
8,8,0,A_expressive,S2_tier1_2,p01
2,2,0,A_expressive,S2_tier1_2,p03
2,3,0,A_expressive,S2_tier1_2,p03
2,4,0,A_expressive,S2_tier1_2,p03
2,5,0,A_expressive,S2_tier1_2,p03
2,6,0,A_expressive,S2_tier1_2,p03
2,7,0,A_expressive,S2_tier1_2,p03
2,8,0,A_expressive,S2_tier1_2,p03
3,2,0,A_expressive,S2_tier1_2,p03
3,3,0,A_expressive,S2_tier1_2,p03
3,4,0,A_expressive,S2_tier1_2,p03
3,5,0,A_expressive,S2_tier1_2,p03
3,6,1,A_expressive,S2_tier1_2,p03
3,7,0,A_expressive,S2_tier1_2,p03
3,8,0,A_expressive,S2_tier1_2,p03
4,2,0,A_expressive,S2_tier1_2,p03
4,3,0,A_expressive,S2_tier1_2,p03
4,4,0,A_expressive,S2_tier1_2,p03
4,5,1,A_expressive,S2_tier1_2,p03
4,6,1,A_expressive,S2_tier1_2,p03
4,7,0,A_expressive,S2_tier1_2,p03
4,8,0,A_expressive,S2_tier1_2,p03
5,2,0,A_expressive,S2_tier1_2,p03
5,3,0,A_expressive,S2_tier1_2,p03
5,4,0,A_expressive,S2_tier1_2,p03
5,5,1,A_expressive,S2_tier1_2,p03
5,6,67,A_expressive,S2_tier1_2,p03
5,7,5,A_expressive,S2_tier1_2,p03
5,8,0,A_expressive,S2_tier1_2,p03
6,2,0,A_expressive,S2_tier1_2,p03
6,3,0,A_expressive,S2_tier1_2,p03
6,4,0,A_expressive,S2_tier1_2,p03
6,5,0,A_expressive,S2_tier1_2,p03
6,6,1,A_expressive,S2_tier1_2,p03
6,7,0,A_expressive,S2_tier1_2,p03
6,8,0,A_expressive,S2_tier1_2,p03
7,2,0,A_expressive,S2_tier1_2,p03
7,3,0,A_expressive,S2_tier1_2,p03
7,4,0,A_expressive,S2_tier1_2,p03
7,5,0,A_expressive,S2_tier1_2,p03
7,6,0,A_expressive,S2_tier1_2,p03
7,7,0,A_expressive,S2_tier1_2,p03
7,8,0,A_expressive,S2_tier1_2,p03
8,2,0,A_expressive,S2_tier1_2,p03
8,3,0,A_expressive,S2_tier1_2,p03
8,4,0,A_expressive,S2_tier1_2,p03
8,5,0,A_expressive,S2_tier1_2,p03
8,6,0,A_expressive,S2_tier1_2,p03
8,7,0,A_expressive,S2_tier1_2,p03
8,8,0,A_expressive,S2_tier1_2,p03
2,2,0,A_expressive,S2_tier1_2,p05
2,3,0,A_expressive,S2_tier1_2,p05
2,4,0,A_expressive,S2_tier1_2,p05
2,5,0,A_expressive,S2_tier1_2,p05
2,6,0,A_expressive,S2_tier1_2,p05
2,7,0,A_expressive,S2_tier1_2,p05
2,8,0,A_expressive,S2_tier1_2,p05
3,2,0,A_expressive,S2_tier1_2,p05
3,3,0,A_expressive,S2_tier1_2,p05
3,4,0,A_expressive,S2_tier1_2,p05
3,5,0,A_expressive,S2_tier1_2,p05
3,6,1,A_expressive,S2_tier1_2,p05
3,7,0,A_expressive,S2_tier1_2,p05
3,8,0,A_expressive,S2_tier1_2,p05
4,2,0,A_expressive,S2_tier1_2,p05
4,3,0,A_expressive,S2_tier1_2,p05
4,4,0,A_expressive,S2_tier1_2,p05
4,5,3,A_expressive,S2_tier1_2,p05
4,6,2,A_expressive,S2_tier1_2,p05
4,7,0,A_expressive,S2_tier1_2,p05
4,8,0,A_expressive,S2_tier1_2,p05
5,2,0,A_expressive,S2_tier1_2,p05
5,3,0,A_expressive,S2_tier1_2,p05
5,4,0,A_expressive,S2_tier1_2,p05
5,5,40,A_expressive,S2_tier1_2,p05
5,6,28,A_expressive,S2_tier1_2,p05
5,7,2,A_expressive,S2_tier1_2,p05
5,8,0,A_expressive,S2_tier1_2,p05
6,2,0,A_expressive,S2_tier1_2,p05
6,3,0,A_expressive,S2_tier1_2,p05
6,4,0,A_expressive,S2_tier1_2,p05
6,5,0,A_expressive,S2_tier1_2,p05
6,6,0,A_expressive,S2_tier1_2,p05
6,7,0,A_expressive,S2_tier1_2,p05
6,8,0,A_expressive,S2_tier1_2,p05
7,2,0,A_expressive,S2_tier1_2,p05
7,3,0,A_expressive,S2_tier1_2,p05
7,4,0,A_expressive,S2_tier1_2,p05
7,5,0,A_expressive,S2_tier1_2,p05
7,6,0,A_expressive,S2_tier1_2,p05
7,7,0,A_expressive,S2_tier1_2,p05
7,8,0,A_expressive,S2_tier1_2,p05
8,2,0,A_expressive,S2_tier1_2,p05
